Class_Name,Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,Avg_Recieve_Kbps,Avg_Transmit_Kbps
Very LOW,0.021763157,0.022212253,0.023276421,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021757343,0.022207765,0.023273482,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021757094,0.022207949,0.023273509,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758805,0.022208565,0.023273648,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021757171,0.022208272,0.023273635,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758182,0.022208718,0.023274065,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021759908,0.02220861,0.023274092,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758959,0.022212559,0.023280026,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021766577,0.022214864,0.023276976,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758198,0.022208103,0.023273482,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.02175756,0.022208565,0.023273371,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758649,0.022208257,0.023273509,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021756316,0.022207596,0.023273329,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021759426,0.022210563,0.02327559,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021762846,0.022215479,0.023280581,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021768908,0.022217015,0.023280857,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021768457,0.022217398,0.023282174,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021771238,0.022221468,0.023284182,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021770166,0.02221706,0.023280345,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021762379,0.022212405,0.023276976,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758494,0.022209024,0.023273787,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021759566,0.022208103,0.023273024,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758494,0.022207949,0.023272539,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.02175927,0.022208257,0.023273232,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021756829,0.022207427,0.023273024,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758027,0.022207795,0.023273371,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021764711,0.022216246,0.023282936,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021768628,0.022215202,0.023276838,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021758805,0.022208718,0.023273787,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021759114,0.022209024,0.023273787,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021759426,0.022209486,0.023274757,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.021762644,0.022212667,0.0232776,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
Very LOW,0.02176207,0.022212253,0.023276838,0.018482353,0.000580716,0.056214823,0.000142113,0.000121037
